ARTICULO;NOMBRE
949031;PANEL METALICO 2,70 X 0,60
106152;"Barra Roscada TEIDE Ø15mm ; L=1,20m"
106162;"Barra Roscada TEIDE Ø15mm ; L=1,50m"
106172;"Barra Roscada TEIDE Ø15mm ; L=2,00m"
106182;Placa Nervada TEIDE Ø15mm
106192;Tuerca Mariposa TEIDE Ø15mm
106202;Mordaza TEIDE
106212;Mordaza Extensible TEIDE
106222;"Gancho Elevación TEIDE ; CMU=1500 kg"
106232;CHAPA COMPENSACION 3M INDE-K
106242;Perfil Compensación TEIDE 300x5cm
106252;Consola de Trabajo TEIDE
113062;Pilar Circular INDE-K Ø40x350cm
113101;Pilar Circular INDE-K Ø40x50cm
113071;Pilar Circular INDE-K Ø45x350cm
113072;Pilar Circular INDE-K Ø45x350cm
109232;"Sopanda Intermedia VERSATEC ; L=4,00m ; 7A ; Blanco"
108021;"Barandilla INDE-K ; L=250 cm ; Clase A"
104112;"Chapa Pilar INDE-K 100x50cm ; Rojo"
108022;"Barandilla INDE-K ; L=250 cm ; Clase A"
113081;Pilar Circular INDE-K Ø50x300cm
109242;"Sopanda Extrema  VERSATEC ; L=4,00m ; 7A ; Blanco"
104132;"Chapa Pilar INDE-K 100x70cm ; Rojo"
109262;"Alineador TEIDE U80 ; L=0,75m"
113082;Pilar Circular INDE-K Ø50x300cm
103052;Puntal 4m
103062;Puntal 5m
104122;"Chapa Pilar INDE-K 100x60cm ; Rojo"
103271;TUBO DE PUNTAL DE 3M
102162;"Tablero Tricapa VERSATEC 80x50cm ; Azul (1ª)"
103272;TUBO DE PUNTAL 3M
106372;TUBO DE 3M ARRIOSTRADOR
106351;Tuerca Placa Articulada TEIDE Ø15mm
104211;Cangrejo Unión Chapa Pilar INDE-K 10mm
106352;Tuerca Placa Articulada TEIDE Ø15mm
102172;TABLERO FENOLICO 1,97M INDE-K
104212;Cangrejo Unión Chapa Pilar INDE-K 10mm
111052;Marco Media Cubeta VERSATEC C/ Chapa cub 25-35 cm
101161;"Suplemento Arriostrador UNO97 ; Naranja"
111051;Marco Media Cubeta VERSATEC C/ Chapa cub 25-35 cm
107012;CHAPA REMATE 0.50 X 0.50
104681;Escuadra Int. Panel  Ligero 1200x300x300  Inde-k
102072;"Tablero Tricapa VERSATEC 98x50cm ; Amarillo (1ª)"
101211;"Arriostrador UNO97 ; L=4,00 m ; Ral 7012"
101162;"Suplemento Arriostrador UNO97 ; Naranja"
104031;"Chapa Pilar INDE-K 300x50cm ; Rojo"
949041;PANEL ESQUINA METALICO 2,70
104032;"Chapa Pilar INDE-K 300x50cm ; Rojo"
113092;Pilar Circular INDE-K Ø25x300cm
107011;CHAPA REMATE 0.50 X 0.50
107021;CHAPA REMATE 0.50 X 0.60
111062;Marco Media Cubeta VERSATEC cub-25-35
107031;CHAPA REMATE 0.50 X 0.65
107041;CHAPA REMATE 0.55 X 0.60
